particle_id,final_energy_MeV,scattering_angle_deg,backscattered,dir_x,dir_y,dir_z,total_areal_density
5454,5.0993,7.57,0,0.991278,0.070008,0.111656,1.32e+019
5455,5.1708,3.67,0,0.997949,-0.016218,-0.061928,1.32e+019
5456,5.1016,2.01,0,0.999387,0.024548,-0.024973,1.32e+019
5457,5.1192,2.63,0,0.998946,0.045851,0.001931,1.32e+019
5458,5.1281,6.95,0,0.992644,0.073998,-0.095827,1.32e+019
5459,5.1415,4.89,0,0.996353,0.084829,0.009206,1.32e+019
5460,5.1510,0.48,0,0.999965,0.005866,0.006046,1.32e+019
5461,5.1420,8.13,0,0.989955,-0.133086,-0.047719,1.32e+019
5462,5.1461,4.30,0,0.997188,0.074936,-0.000632,1.32e+019
5463,5.1197,8.15,0,0.989902,0.019626,-0.140389,1.32e+019
5464,5.1254,7.21,0,0.992094,-0.054223,0.113174,1.32e+019
5465,5.1697,1.38,0,0.999712,-0.013202,0.020047,1.32e+019
5466,5.1283,1.97,0,0.999411,-0.034219,0.002440,1.32e+019
5467,5.1376,5.19,0,0.995900,-0.007367,0.090160,1.32e+019
5468,5.1358,3.81,0,0.997792,-0.037429,-0.054859,1.32e+019
5469,5.1213,4.87,0,0.996396,-0.064388,-0.055228,1.32e+019
5470,5.1604,1.65,0,0.999587,0.004668,-0.028357,1.32e+019
5471,5.1059,1.32,0,0.999736,0.003110,0.022769,1.32e+019
5472,5.1449,5.37,0,0.995617,-0.013839,0.092498,1.32e+019
5473,5.1718,0.80,0,0.999903,0.007149,0.011983,1.32e+019
5474,5.1306,1.67,0,0.999573,-0.025828,-0.013636,1.32e+019
5475,5.1176,6.20,0,0.994154,-0.104390,-0.027561,1.32e+019
5476,5.1086,1.83,0,0.999491,-0.000703,0.031884,1.32e+019
5477,5.1101,4.27,0,0.997229,-0.068215,0.029680,1.32e+019
5478,5.1153,5.87,0,0.994749,-0.095120,-0.037764,1.32e+019
5479,5.1407,5.21,0,0.995868,0.081418,0.040232,1.32e+019
5480,5.1002,5.29,0,0.995734,0.075316,-0.053307,1.32e+019
5481,5.1231,5.04,0,0.996131,-0.078120,-0.040265,1.32e+019
5482,5.1451,6.11,0,0.994323,-0.102611,0.028146,1.32e+019
5483,5.1186,18.15,0,0.950242,0.241807,0.196389,1.32e+019
5484,5.1481,4.62,0,0.996757,-0.015708,0.078924,1.32e+019
5485,5.1442,4.53,0,0.996869,-0.072943,0.030505,1.32e+019
5486,5.1241,8.43,0,0.989208,0.134672,0.057708,1.32e+019
5487,5.1486,3.19,0,0.998450,0.055579,0.002925,1.32e+019
5488,5.1209,9.53,0,0.986191,-0.160451,-0.041029,1.32e+019
5489,5.0974,0.58,0,0.999949,0.004410,-0.009055,1.32e+019
5490,5.1376,5.02,0,0.996166,0.051258,0.070888,1.32e+019
5491,5.1413,9.37,0,0.986669,-0.158385,0.037394,1.32e+019
